,title,links,publication_date,venue,link4download,num_citations,num_downloads_cu,abstract
0,POSTER: How Distributed Are Today's DDoS Attacks?,https://dl.acm.org/citation.cfm?id=2662382&preflayout=flat,November 2014,CCS '14: Proceedings of the 2014 ACM SIGSAC Conference on Computer and Communications Security,https://dl.acm.org/ft_gateway.cfm?id=2662382&ftid=1512480&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,1,548,"Today botnets are responsible for most of the DDoS attacks on the Internet. Understanding the characteristics of such DDoS attacks is critical to develop effective DDoS mitigation schemes. In this poster, we present some preliminary findings, mainly concerning the distribution of the attackers, of today's DDoS attacks. Our investigation is based on 50,704 different Internet DDoS attacks collected within a seven-month period for activities across the globe. These attacks were launched by 674 botnet generations from 23 different bonet families with a total of 9026 victim IPs belonging to 1074 organizations that are collectively located in 186 countries. We find that different from the traditional widely distributed intuition, most of these DDoS attacks are not widely distributed as the attackers are mostly from the same region, i.e., highly regionalized. We also find that different botnet families have strong target preferences in the same area as well. These findings refresh our understanding on the modern DDoS attacks."
1,Towards DDoS Attack Resilient Wide Area Monitoring Systems,https://dl.acm.org/citation.cfm?id=3103164&preflayout=flat,August 2017,"ARES '17: Proceedings of the 12th International Conference on Availability, Reliability and Security",https://dl.acm.org/ft_gateway.cfm?id=3103164&ftid=1899463&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,0,88,"The traditional physical power grid is evolving into a cyber-physical Smart Grid (SG) that links the cyber communication and computational elements with the physical control functions to dynamically integrate varied and geographically distributed energy producers/consumers. In the SG, the cyber elements of Wide Area Measurement Systems (WAMS) are deployed to provide the critical monitoring of the state of power transmission and distribution to accomplish real-time control of the grid. Unfortunately, the increasing adoption of such computing/communication cyber-technologies essential to providing the SG operations also opens the risk of the SG being vulnerable to cyberattacks. In particular, attacks such as Denial-of-Service (DoS) and Distributed DoS (DDoS) are of primary concern for WAMS where such attacks can compromise its safety-critical accuracy and responsiveness characteristics."
2,Using CPR Metric to Detect and Filter Low-Rate DDoS Flows,https://dl.acm.org/citation.cfm?id=3155161&preflayout=flat,December 2017,SoICT 2017: Proceedings of the Eighth International Symposium on Information and Communication Technology,,,,
3,PIT overload analysis in content centric networks,https://dl.acm.org/citation.cfm?id=2491225&preflayout=flat,August 2013,ICN '13: Proceedings of the 3rd ACM SIGCOMM workshop on Information-centric networking,https://dl.acm.org/ft_gateway.cfm?id=2491225&ftid=1389096&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,7,223,"Content Centric Networking represents a paradigm shift in the evolution and definition of modern network protocols. Many research efforts have been made with the purpose of proving the feasibility and the scalability of this proposal. Our main contribution is to provide an analysis of the Pending Interest Table memory requirements in real deployment scenarios, especially considering the impact of distributed denial of service attacks. In fact, the state that the protocol maintains for each resource request makes the routers more prone to resources exhaustion issues than in traditional stateless solutions. Our results are derived by using a full custom simulator and considering the different node architectures that have been proposed as valid reference models. The main outcomes point out differentiated weaknesses in each architecture we investigated and underline the need for improvements in terms of security and scalability."
4,Detecting DDoS attacks with Hadoop,https://dl.acm.org/citation.cfm?id=2079334&preflayout=flat,December 2011,CoNEXT '11 Student: Proceedings of The ACM CoNEXT Student Workshop,https://dl.acm.org/ft_gateway.cfm?id=2079334&ftid=1066776&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,5,669,"Recent distributed denial-of-service (DDoS) attacks have demonstrated horrible destructive power by paralyzing web servers within short time. As the volume of Internet traffic rapidly grows up, the current DDoS detection technologies have met a new challenge that should efficiently deal with a huge amount of traffic within the affordable response time. In this work, we propose a novel DDoS detection method based on Hadoop that implements a HTTP GET flooding detection algorithm in MapReduce on the distributed computing platform."
5,SENSS Against Volumetric DDoS Attacks,https://dl.acm.org/citation.cfm?id=3274717&preflayout=flat,December 2018,ACSAC '18: Proceedings of the 34th Annual Computer Security Applications Conference,https://dl.acm.org/ft_gateway.cfm?id=3274717&ftid=2022466&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,0,125,"Volumetric distributed denial-of-service (DDoS) attacks can bring any network to a halt. Because of their distributed nature and high volume, the victim often cannot handle these attacks alone and needs help from upstream ISPs. Today's Internet has no automated mechanism for victims to ask ISPs for help in attack handling and ISPs themselves do not offer such services. We propose SENSS, a security service for collaborative mitigation of volumetric DDoS attacks. SENSS enables the victim of an attack to request attack monitoring and filtering on demand, and to pay for the services rendered. Requests can be sent both to the immediate and to remote ISPs, in an automated and secure manner, and can be authenticated by these ISPs, without having prior trust with the victim. Simple and generic SENSS APIs enable victims to build custom detection and mitigation approaches against a variety of DDoS attacks. SENSS is deployable with today's infrastructure, and it has strong economic incentives both for ISPs and for the attack victims. It is also very effective in sparse deployment, offering full protection to direct customers of early adopters, and considerable protection to remote victims when deployed strategically. Deployment on the largest 1% of ISPs protects not just direct customers of these ISPs, but everyone on the Internet, from 90% of volumetric DDoS attacks."
6,FlowJustifier: An optimized trust-based request prioritization approach for mitigation of SDN controller DDoS attacks in the IoT paradigm,https://dl.acm.org/citation.cfm?id=3342037&preflayout=flat,July 2019,ICFNDS '19: Proceedings of the 3rd International Conference on Future Networks and Distributed Systems,https://dl.acm.org/ft_gateway.cfm?id=3342037&ftid=2082150&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,0,9,"Software-defined networks have introduced innovative changes in communication networks by separating and centralizing control plane from the data forwarding plane, making the network more manageable and adaptable. SDN is widely getting adapted in the IoT environment mainly for the reason of security. Although SDN enhances network security with the centralized control of network behavior, it has its own challenges in terms of security. SDN controller is prone to DoS/DDoS attacks where attackers may flood controller with a large number of new flows beyond the controller's capacity, causing network failure for legitimate users. These attacks could be worse in the IoT context due to its open nature. A verity of techniques has been proposed for SDN controller attack mitigation, each could be categorized based on entropy, time, trust management and scheduling schemes used differently, but trust-based request prioritization solutions are simplest among these due to their resource requirements and less response time. Our proposed technique for mitigation of DDoS attacks is even based on trust management but specifically crafted for IoT environment that ensures maximal and optimal utilization of available resources, with the aim to reduce the load on the controller while making contest against attack more effective."
7,Sounding the Bell for Improving Internet (of Things) Security,https://dl.acm.org/citation.cfm?id=3139946&preflayout=flat,November 2017,IoTS&P '17: Proceedings of the 2017 Workshop on Internet of Things Security and Privacy,,,,
8,Maneuvering Around Clouds: Bypassing Cloud-based Security Providers,https://dl.acm.org/citation.cfm?id=2813633&preflayout=flat,October 2015,CCS '15: Proceedings of the 22nd ACM SIGSAC Conference on Computer and Communications Security,https://dl.acm.org/ft_gateway.cfm?id=2813633&ftid=1630951&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,7,739,"The increase of Distributed Denial-of-Service (DDoS) attacks in volume, frequency, and complexity, combined with the constant required alertness for mitigating web application threats, has caused many website owners to turn to Cloud-based Security Providers (CBSPs) to protect their infrastructure. These solutions typically involve the rerouting of traffic from the original website through the CBSP's network, where malicious traffic can be detected and absorbed before it ever reaches the servers of the protected website. The most popular Cloud-based Security Providers do not require the purchase of dedicated traffic-rerouting hardware, but rely solely on changing the DNS settings of a domain name to reroute a website's traffic through their security infrastructure. Consequently, this rerouting mechanism can be completely circumvented by directly attacking the website's hosting IP address. Therefore, it is crucial for the security and availability of these websites that their real IP address remains hidden from potential attackers. In this paper, we discuss existing, as well as novel ""origin-exposing"" attack vectors which attackers can leverage to discover the IP address of the server where a website protected by a CBSP is hosted. To assess the impact of the discussed origin-exposing vectors on the security of CBSP-protected websites, we consolidate all vectors into CloudPiercer, an automated origin-exposing tool, which we then use to conduct the first large-scale analysis of the effectiveness of the origin-exposing vectors. Our results show that the problem is severe: 71.5% of the 17,877 CBSP-protected websites that we tested, expose their real IP address through at least one of the evaluated vectors. The results of our study categorically demonstrate that a comprehensive adoption of CBSPs is harder than just changing DNS records. Our findings can steer CBSPs and site administrators towards effective countermeasures, such as proactively scanning for origin exposure and using appropriate network configurations that can greatly reduce the threat."
9,Techniques for Improving Performance of the CPR-Based Approach,https://dl.acm.org/citation.cfm?id=3287940&preflayout=flat,December 2018,SoICT 2018: Proceedings of the Ninth International Symposium on Information and Communication Technology,https://dl.acm.org/ft_gateway.cfm?id=3287940&ftid=2025951&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,0,12,"TCP-targeted low-rate distributed denial-of-service (LDDoS) attacks have created an opportunity for attackers to reduce their total attaking rate (and hence, the detection probability of the attacks) while inflicting the same damage to TCP flows as traditional flooding-based DDoS attacks. CPR-based approach has been proposed by Zhang et al. to detect and filter this kind of DDoS attacks, but its performance in terms of TCP throughput under attack is shown to be limited by the way it calculates CPR for each flow. In this paper, we will propose some modifications to the CPR-based approach in order to increase its performance. Simulation results show that the modifications can increase performance significantly."
