,abstract,link4download,links,num_citations,num_downloads_cu,publication_date,title,venue
0,"Most of the problems facing the designers of a public cloud are extensions of what we face in any data center: detecting and preventing intrusions, coping with DoS attacks, and keeping the various services largely isolated from one another. There are some new challenges: how to control the behavior of customers when your privacy guarantees prevent you from looking too closely at what they are doing, how to protect them from network based attacks when you don't know what kind of traffic is normal, and how to guarantee them resources when the behavior of others sharing the hardware is unpredictable. There are also some new advantages: centrally managing software maintenance can assure that patches are installed promptly, and scale permits a permanent staff of experienced trouble shooters to handle what would be rare problems for any individual customer.",https://dl.acm.org/ft_gateway.cfm?id=2046668&ftid=1047106&dwn=1&CFID=84020132&CFTOKEN=a6f8f8e912c797a3-8C549BFF-CC18-FBDE-FEB65C7292D379D9,https://dl.acm.org/citation.cfm?id=2046668&preflayout=flat,0,"2,103",October 2011,What's different about security in a public cloud?,CCSW '11: Proceedings of the 3rd ACM workshop on Cloud computing security workshop
1,"Cloud computing has become increasingly popular and important. Many companies have policy initiatives encouraging or even mandating the use of ""cloud"" computing. The popularity of cloud computing stems primarily from the hope for significant cost savings but also from the ability to scale quickly without large capital expenditures and efficient sharing and curation of very large data sets (for example, search indexes). Clouds, like distributed computing generally, also offers the ability to access data and resources from any connected device (increasingly mobile devices like smart phones and lightweight tablets like iPads). However, cloud computing in all its incarnations (Infrastructure as a Service, Software as a Service, Platform as a Service) raises a number of security questions that current providers have not addressed (or remain ominously silent about): increased susceptibility to insider attacks due to concentration of valuable data, ""fate-sharing"" and other vulnerabilities due to multi-tenancy, policy issues arising from multi-jurisdictional siting, vulnerabilities arising from scale operations, the opacity of cloud operators security practices and disclosure of interruption of operations or attacks. Despite these potential issues, cloud computing can be beneficial with judicial and transparent application of some simple security principles. We discuss cloud infrastructure, economics, operations and security infrastructure desiderata.",https://dl.acm.org/ft_gateway.cfm?id=2046662&ftid=1047102&dwn=1&CFID=84020132&CFTOKEN=a6f8f8e912c797a3-8C549BFF-CC18-FBDE-FEB65C7292D379D9,https://dl.acm.org/citation.cfm?id=2046662&preflayout=flat,0,845,October 2011,Clouds and their discontents,CCSW '11: Proceedings of the 3rd ACM workshop on Cloud computing security workshop
2,"Can the cloud truly be secured? Can enterprises, universities, small businesses and governments securely utilize the cloud for their critical infrastructure? It will take rethinking our current security policies and what we consider secure. This session will cover what is necessary to utilize the cloud securely today and how the cloud should adapt for the future.",https://dl.acm.org/ft_gateway.cfm?id=2046674&ftid=1047110&dwn=1&CFID=84020132&CFTOKEN=a6f8f8e912c797a3-8C549BFF-CC18-FBDE-FEB65C7292D379D9,https://dl.acm.org/citation.cfm?id=2046674&preflayout=flat,0,"1,975",October 2011,Cloud security: myth or reality?,CCSW '11: Proceedings of the 3rd ACM workshop on Cloud computing security workshop
3,"Cloud computing is a long fantasized visualization of computing as a utility, where data owners can remotely store and access their data in the cloud anytime and from anywhere. Using a shared pool of configurable resources, users can be relieved from the burden of local data storage and upkeep. The security of cloud computing has always been an important aspect of quality of service from cloud service providers. However, cloud computing poses many new security challenges which have not been well investigated. This paper provides an analysis of cloud computing, cloud data storage security, the security risks that involve using the cloud, security policies, physical security, and software security pertaining to the cloud. Our research work indicates that cloud computing combined with a trusted computing platform can provide some important security services, including authentication, confidentiality, and integrity.",https://dl.acm.org/ft_gateway.cfm?id=2331767&ftid=1263361&dwn=1&CFID=84020132&CFTOKEN=a6f8f8e912c797a3-8C549BFF-CC18-FBDE-FEB65C7292D379D9,https://dl.acm.org/citation.cfm?id=2331767&preflayout=flat,6,"2,259",March 2012,Different facets of security in the cloud,CNS '12: Proceedings of the 15th Communications and Networking Simulation Symposium
4,"It is recognized that the most important obstacle to the development of the cloud is the variety of new security threats which requests new methods and mechanisms. This is even truer for those who want to deploy business processes, because of the critical knowledge they encapsulate in terms of know-how and data. This paper proposes an approach combining modeling techniques and cloud selection for a trusted deployment of a security risk-aware business process in security constrained clouds.",https://dl.acm.org/ft_gateway.cfm?id=2536164&ftid=1414377&dwn=1&CFID=84020132&CFTOKEN=a6f8f8e912c797a3-8C549BFF-CC18-FBDE-FEB65C7292D379D9,https://dl.acm.org/citation.cfm?id=2536164&preflayout=flat,1,341,October 2013,A general approach for a trusted deployment of a business process in clouds,MEDES '13: Proceedings of the Fifth International Conference on Management of Emergent Digital EcoSystems
5,"Auditing message exchange in a cloud involves logging interactions between services that are dynamically composed to satisfy a client's request to the cloud. Additional cloud management services are needed to facilitate audit record capture of events occurring within the end-to-end round trip messaging of the composition and to analyze the resulting audit assets for security anomalies. When an external cloud, possibly in a federation, has a service needed for the task, audit assets must be conveyed back to the originating cloud for disclosure of communications and resource accesses. Otherwise, the external cloud may hide any potential vulnerabilities related to information tainting, message attacks, and resource misuse since these security risks cannot be directly assessed. In this paper, we underscore the importance of designing cross-cloud communications to retain security audit information to assess message and resource vulnerabilities and maintain federation trust. We present an architecture and a message schema for management, communication, and analysis.",https://dl.acm.org/ft_gateway.cfm?id=2459981&ftid=1360970&dwn=1&CFID=84020132&CFTOKEN=a6f8f8e912c797a3-8C549BFF-CC18-FBDE-FEB65C7292D379D9,https://dl.acm.org/citation.cfm?id=2459981&preflayout=flat,0,400,January 2013,An architecture for cross-cloud auditing,CSIIRW '13: Proceedings of the Eighth Annual Cyber Security and Information Intelligence Research Workshop
6,"Due to the many advantages offered by the cloud computing paradigm, it is fast becoming an enabling technology for many organizations, and even individual users. Flexibility and availability are two of the most important features that promote the wide spread adoption of this technology. In cloud-based data storage scenarios, where the data is controlled by a third party (i.e. the cloud service provider), the data owner usually does not have full control of its data at all stages. Consequently, this poses a prime security threat, and a major challenge is the development of a secure protocol for data storage, sharing, and retrieval. In recent years, a number of research works have targeted this problem. In this paper, we discuss some of the major approaches for secure data sharing in the cloud computing environment. The goal is to provide a concise survey of existing solutions, discuss their benefits, and point out any shortcomings for future research. Specifically, we focus on the use of encryption schemes, and provide a comparative study of the major schemes, through implementation of some representative frameworks.",https://dl.acm.org/ft_gateway.cfm?id=2668278&ftid=1505206&dwn=1&CFID=84020132&CFTOKEN=a6f8f8e912c797a3-8C549BFF-CC18-FBDE-FEB65C7292D379D9,https://dl.acm.org/citation.cfm?id=2668278&preflayout=flat,1,417,September 2014,An Experimental Evaluation of Data Confidentiality Measures on the Cloud,MEDES '14: Proceedings of the 6th International Conference on Management of Emergent Digital EcoSystems
7,"As more and more organization move to the cloud, security remains a major concern. Given the unique nature of a cloud computing system, security threats take a different form in the cloud. These unique threats require unique security measures and security management.",https://dl.acm.org/ft_gateway.cfm?id=3231831&ftid=2013151&dwn=1&CFID=84020132&CFTOKEN=a6f8f8e912c797a3-8C549BFF-CC18-FBDE-FEB65C7292D379D9,https://dl.acm.org/citation.cfm?id=3231831&preflayout=flat,0,176,November 2017,Prioritizing Cloud Security Controls,"AWICT 2017: Proceedings of the Second International Conference on Advanced Wireless Information, Data, and Communication Technologies"
8,"This article presents a brief overview on cloud computing security in terms of security considerations, models, threats and precautions. The articles published in recent years were classified and they were then analyzed in terms of problems, solutions and challenges. It should be concluded that standards, measurements and metrics for evaluations of threats need to be initially discussed carefully and then applied to the real applications.",https://dl.acm.org/ft_gateway.cfm?id=2527013&ftid=1418908&dwn=1&CFID=84020132&CFTOKEN=a6f8f8e912c797a3-8C549BFF-CC18-FBDE-FEB65C7292D379D9,https://dl.acm.org/citation.cfm?id=2527013&preflayout=flat,1,"1,593",November 2013,A review on cloud security,SIN '13: Proceedings of the 6th International Conference on Security of Information and Networks
9,"Enforcing security properties in a Cloud is a difficult task, which requires expertise. However, it is not the only security-related challenge met by a company migrating to a Cloud environment. Indeed, the tenant must also have assurance that the requested security properties have effectively been enforced. Therefore, the Cloud provider has to offer a way of monitoring the security. In this paper, we present a solution to express the assurance properties based on the security requirements of the tenant and to deploy these assurance properties. First, we introduce a language that expresses the assurance based on the tenant's security requirements. Secondly, we propose an infrastructure that deploys the assurance in a Cloud environment. This solution aims to be easy to use: the assurance directly results from the high-level expression of the tenant's security requirements, and no additional action is needed from the tenant. Consequently, we address one of the greatest drawback of security and assurance - the complexity of their configuration - while providing a complete assurance mechanism.",https://dl.acm.org/ft_gateway.cfm?id=2752500&ftid=1589456&dwn=1&CFID=84020132&CFTOKEN=a6f8f8e912c797a3-8C549BFF-CC18-FBDE-FEB65C7292D379D9,https://dl.acm.org/citation.cfm?id=2752500&preflayout=flat,0,214,June 2015,An Autonomic Cloud Management System for Enforcing Security and Assurance Properties,CLHS '15: Proceedings of the 2015 Workshop on Changing Landscapes in HPC Security
